Category	Species	Biomolecule name	Biomolecule ID	Disease name	Disease ontology	ICD-10 classification	Tissue	PubMed_ID	Interaction gene symbol	Expression direction	Experimental method	Experimental method classification	Throughput	Description	Reference title	Year
microRNA	Homo sapiens	hsa-mir-935	MI0005757	Weight loss	-	-	peripheral blood mononuclear cells	23335998	-	upregulation	microarray/real-time qRT-PCR	array;PCR	Low-throughput	Two miRNAs were up-regulated in the non-responder group (mir-935 and mir-4772) and three others were down-regulated (mir-223, mir-224 and mir-376b). Both mir-935 and mir-4772 showed relevant associations with the magnitude of weight loss, although the expression of other transcripts (mir-874, mir-199b, mir-766, mir-589 and mir-148b) also correlated with weight loss.	High-throughput sequencing of microRNAs in peripheral blood mononuclear cells: identification of potential weight loss biomarkers.	2013
microRNA	Mus musculus	mmu-miR-30a-5p	MIMAT0000128	Type II diabetes mellitus	DOID:9352	E11	beta-cell	23338554	Beta2/NeuroD	upregulation	microarray/Transfection Experiments	array;RNAi/knock down/transfection	Low-throughput	The loss of beta cell function is a critical factor in the development of type 2 diabetes. … miR-30a-5p-mediated direct suppression of Beta2/NeuroD gene expression is an important initiation step of glucotoxicity-induced beta cell dysfunction.	miRNA-30a-5p-mediated silencing of Beta2/NeuroD expression is an important initial event of glucotoxicity-induced beta cell dysfunction in rodent models.	2013
microRNA	Homo sapiens	hsa-miR-10b	MIMAT0000254	Non-alcoholic fatty liver disease	-	K76	liver	23353867	PEPCK	downregulation	luciferase assay	luciferase assays	Low-throughput	Here, we describe a functional link between KLF6 expression and hepatic PPARα signaling, in part via miRNA 10b repression. We have uncovered this link by characterizing two mouse models, one with global KLF6 heterozygosity, the second with hepatocyte KLF6 deficiency, as well as by quantifying KLF6 mRNA in a cohort of 28 NAFLD patients. Together these data reveal a regulatory role of KLF6 in insulin signaling and lipid metabolism.	Post-transcriptional activation of PPAR alpha by KLF6 in hepatic steatosis.	2013
microRNA	Homo sapiens	hsa-miR-296-3p	MIMAT0004679	Diabetes mellitus	DOID:9351	E10-E14	αTC1-6 cells	23360399	IGF1Rβ	upregulation	high-throughput real-time PCR/Transfection Experiments	PCR;RNAi/knock down/transfection	Low-throughput	high-throughput microRNA profiling, functional analysis with synthetic mimics and molecular characterization of modulated pathways strongly suggest that specific downregulation of miR-296-3p and miR-298-5p, coupled to upregulation of their targets as IGF1Rβ and TNFα, is a major determinant of mammalian pancreatic α cells resistance to apoptosis induction by cytokines.	miR-296-3p, miR-298-5p and their downstream networks are causally involved in the higher resistance of mammalian pancreatic α cells to cytokine-induced apoptosis as compared to β cells	2013
microRNA	Homo sapiens	hsa-miR-298-5p	-	Diabetes mellitus	DOID:9351	E10-E14	αTC1-6 cells	23360399	IGF1Rβ	upregulation	high-throughput real-time PCR/Transfection Experiments	PCR;RNAi/knock down/transfection	Low-throughput	high-throughput microRNA profiling, functional analysis with synthetic mimics and molecular characterization of modulated pathways strongly suggest that specific downregulation of miR-296-3p and miR-298-5p, coupled to upregulation of their targets as IGF1Rβ and TNFα, is a major determinant of mammalian pancreatic α cells resistance to apoptosis induction by cytokines.	miR-296-3p, miR-298-5p and their downstream networks are causally involved in the higher resistance of mammalian pancreatic α cells to cytokine-induced apoptosis as compared to β cells	2013
microRNA	Homo sapiens	hsa-miR-299-3p	MIMAT0000687	Aging	-	-	endothelium	23362143	IGF1	downregulation	microarray/qRT-PCR	array;PCR	Low-throughput	IGF1 was upregulated in senescent compared with young HUVECs, and knockdown of hsa-miR-299-3p dose-dependently increased the mRNA expression of IGF1, more significantly observed in the presenescent cells (passage 19) compared with the senescent cells	microRNA 299-3p modulates replicative senescence in endothelial cells.	2013
microRNA	Homo sapiens	hsa-miR-375	MIMAT0000728	Type II diabetes mellitus	DOID:9352	E11	pancreatic islets	23372846	AP3S2/KCNK16/NOTCH2/SCL30A8/VPS26A/WFS1	differential expression	RNA-Seq/knock down	RNAi/knock down/transfection;sequencing	Low-throughput	We set out to establish the miRNA profile of human pancreatic islets and of enriched beta-cell populations, and to explore their potential involvement in T2D susceptibility. … Several highly-expressed islet miRNAs, such as miR-375, have established roles in the regulation of islet function	The miRNA profile of human pancreatic islets and beta-cells and relationship to type 2 diabetes pathogenesis.	2013
microRNA	Homo sapiens	hsa-miR-125b	MIMAT0000423	Type I diabetes mellitus	DOID:9744	E10	pancreatic islets	23383059	cMaf	downregulation	PCR/qRT-PCR	PCR;PCR	Low-throughput	Bioinformatic analysis identified potential targets of β-miRNAs analyzing the Beta Cell Gene Atlas, described in the T1Dbase, the web platform, supporting the type 1 diabetes (T1D) community. cMaf, a transcription factor regulating glucagon expression expressed selectively in α-cells (TFα) is targeted by β-miRNAs; miR-200c, miR-125b and miR-182.	microRNA expression in alpha and beta cells of human pancreatic islets.	2013
microRNA	Homo sapiens	hsa-miR-182	MIMAT0000259	Type I diabetes mellitus	DOID:9744	E10	pancreatic islets	23383059	cMaf	downregulation	PCR/qRT-PCR	PCR;PCR	Low-throughput	Bioinformatic analysis identified potential targets of β-miRNAs analyzing the Beta Cell Gene Atlas, described in the T1Dbase, the web platform, supporting the type 1 diabetes (T1D) community. cMaf, a transcription factor regulating glucagon expression expressed selectively in α-cells (TFα) is targeted by β-miRNAs; miR-200c, miR-125b and miR-182.	microRNA expression in alpha and beta cells of human pancreatic islets.	2013
microRNA	Homo sapiens	hsa-miR-200c	MIMAT0000617	Type I diabetes mellitus	DOID:9744	E10	pancreatic islets	23383059	cMaf/Zfpm2	downregulation	PCR/qRT-PCR	PCR;PCR	Low-throughput	Bioinformatic analysis identified potential targets of β-miRNAs analyzing the Beta Cell Gene Atlas, described in the T1Dbase, the web platform, supporting the type 1 diabetes (T1D) community. cMaf, a transcription factor regulating glucagon expression expressed selectively in α-cells (TFα) is targeted by β-miRNAs; miR-200c, miR-125b and miR-182.	microRNA expression in alpha and beta cells of human pancreatic islets.	2013
microRNA	Homo sapiens	hsa-miR-802	MIMAT0004185	Obesity	DOID:9970	E66	liver	23389544	Hnf1b	upregulation	microarray/qRT-PCR	array;PCR	Low-throughput	this study defines a critical role for deregulated expression of miR-802 in the development of obesity-associated impairment of glucose metabolism through targeting of Hnf1b, and assigns Hnf2b an unexpected role in the control of hepatic insulin sensitivity.	Obesity-induced overexpression of miR-802 impairs glucose metabolism through silencing of Hnf1b	2013
microRNA	Rattus norvegicus	rno-miR-145	MIMAT0000851	Metabolic syndrome	DOID:14221	E70-E90	vascular smooth muscle cells	23393394	Klf4/Klf5	downregulation	RT-PCR	PCR	Low-throughput	Restoration of VSMC contractile phenotype through miR-145 delivery is a highly promising intervention for restoration of CCG in the metabolic syndrome.	microRNA-145 restores contractile vascular smooth muscle phenotype and coronary collateral growth in the metabolic syndrome.	2013
microRNA	Mus musculus	mmu-miR-133	-	Obesity	DOID:9970	E66	brown adipose tissue	23395168	Prdm16	upregulation	RT-qPCR	PCR	Low-throughput	microRNA-133 represents an important therapeutic target for the treatment of obesity.	microRNA-133 controls brown adipose determination in skeletal muscle satellite cells by targeting Prdm16.	2013
microRNA	Homo sapiens	hsa-miR-125b	MIMAT0000423	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-130b	MIMAT0000691	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-140-5p	MIMAT0000431	Obesity	DOID:9970	E66	plasma	23396142	-	upregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-142-3p	MIMAT0000434	Obesity	DOID:9970	E66	plasma	23396142	-	upregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-15a	MIMAT0000068	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-221	MIMAT0000278	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-222	MIMAT0000279	Obesity	DOID:9970	E66	plasma	23396142	-	upregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-423-5p	MIMAT0004748	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-520c-3p	MIMAT0002846	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-532-5p	MIMAT0002888	Obesity	DOID:9970	E66	plasma	23396142	-	downregulation	TaqMan low-density array/qRT-PCR	PCR;array	Low-throughput	In the validation study, morbidly obese patients showed a marked increase of miR-140-5p, miR-142-3p (both P < 0.0001), and miR-222 (P = 0.0002) and decreased levels of miR-532-5p, miR-125b, miR-130b, miR-221, miR-15a, miR-423-5p, and miR-520c-3p (P < 0.0001 for all).	Targeting the circulating microRNA signature of obesity.	2013
microRNA	Homo sapiens	hsa-miR-132	MIMAT0000426	Alzheimer's disease	DOID:10652	G30	brain	23403535	-	downregulation	deep sequencing/qPCR/microarray/Northern blot	sequencing;array;immunochemistry;PCR	Low-throughput	MiR-132 has also been shown to regulate cognitive function in other experimental models including neuronal/synaptic integrity and the brain’s response to stressors.	A study of small RNAs from cerebral neocortex of pathology-verified Alzheimer's disease, dementia with lewy bodies, hippocampal sclerosis, frontotemporal lobar dementia, and non-demented human controls.	2013
microRNA	Mus musculus	mmu-miR-200b	MIMAT0000233	Diabetic retinopathy	DOID:8947	E14	retina	23404117	Oxr1	upregulation	microarray/qRT-PCR	array;PCR	Low-throughput	These results suggested that miR-200b-regulated Oxr1 potentially has a protective role in diabetic retinopathy.	microRNA-200b downregulates oxidation resistance 1 (Oxr1) expression in the retina of type 1 diabetes model.	2013
microRNA	Homo sapiens	hsa-miR-23a	MIMAT0000078	Aging	-	-	dermal fibroblasts/keratinocytes	23439683	LMNB1	upregulation	Transfection Experiments	RNAi/knock down/transfection	Low-throughput	In this paper, we show that LMNB1 protein levels decline in senescent human dermal fibroblasts and keratinocytes, mediated by reduced transcription and inhibition of LMNB1 messenger ribonucleic acid (RNA) translation by miRNA-23a.	Lamin B1 fluctuations have differential effects on cellular proliferation and senescence.	2013
microRNA	Mus musculus	mmu-miR-145	MIMAT0000157	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	MATK1	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-181a	MIMAT0000210	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	MATK1/PRKCD	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-19b	MIMAT0000513	Atherosclerosis	DOID:1936	-	aortic tissues	23470715	SOCS3	downregulation	microarray/qRT-PCR	array;PCR	Low-throughput	The enriched molecular pathways were confirmed through qRT-PCR evaluation by observing the presence of suppressor of cytokine signaling 3 (SOCS3) and SOCS3-related miRNAs, miR-30a, miR-30e and miR-19b. … The identified SOCS3 pathway is a potentially valuable target for future development of targeted miRNA therapies to control atherosclerosis development and progression.	Differentiated miRNA expression and validation of signaling pathways in apoE gene knockout mice by cross-verification microarray platform.	2013
microRNA	Mus musculus	mmu-miR-19b	MIMAT0000513	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	SOCS3	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-222	MIMAT0000670	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	MAPK10	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-28b	MIMAT0019354	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	PRKCD	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-30a	MIMAT0000128	Atherosclerosis	DOID:1936	-	aortic tissues	23470715	SOCS3	downregulation	microarray/qRT-PCR	array;PCR	Low-throughput	The enriched molecular pathways were confirmed through qRT-PCR evaluation by observing the presence of suppressor of cytokine signaling 3 (SOCS3) and SOCS3-related miRNAs, miR-30a, miR-30e and miR-19b. … The identified SOCS3 pathway is a potentially valuable target for future development of targeted miRNA therapies to control atherosclerosis development and progression.	Differentiated miRNA expression and validation of signaling pathways in apoE gene knockout mice by cross-verification microarray platform.	2013
microRNA	Mus musculus	mmu-miR-30a	MIMAT0000128	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	PIK3R2/PIK3CD/SOCS3	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-30e	MIMAT0000248	Atherosclerosis	DOID:1936	-	aortic tissues	23470715	SOCS3	downregulation	microarray/qRT-PCR	array;PCR	Low-throughput	The enriched molecular pathways were confirmed through qRT-PCR evaluation by observing the presence of suppressor of cytokine signaling 3 (SOCS3) and SOCS3-related miRNAs, miR-30a, miR-30e and miR-19b. … The identified SOCS3 pathway is a potentially valuable target for future development of targeted miRNA therapies to control atherosclerosis development and progression.	Differentiated miRNA expression and validation of signaling pathways in apoE gene knockout mice by cross-verification microarray platform.	2013
microRNA	Mus musculus	mmu-miR-30e	MIMAT0000248	Type II diabetes mellitus	DOID:9352	E11	aortic walls	23470715	SOCS3	differential expression	microarray/qRT-PCR	array;PCR	Low-throughput	A total of 400 genes were identified as part of the refined gene set, each serving as a target gene for a specific miRNA. In atherosclerotic apoE−/− aortic tissues, 75 differentially expressed miRNAs that exhibited a negative correlation with regulated miRNAs were identified. Using these genes, significantly enriched type 2 diabetes mellitus pathways (P<0.01) were identified.	microRNAs -the next generation therapeutic targets in human diseases.	2013
microRNA	Mus musculus	mmu-miR-143	MIMAT0000247	Diabetes mellitus	DOID:9351	E10-E14	endothelial cells	23476055	AMPKα2	downregulation	RNAi	RNAi/knock down/transfection	Low-throughput	Post-transcriptional regulation of miR-143/145 may contribute to the vascular complications associated with diabetes mellitus.	AMP-activated protein kinase regulates endothelial cell angiotensin-converting enzyme expression via p53 and the post-transcriptional regulation of microRNA-143/145.	2013
microRNA	Mus musculus	mmu-miR-145	MIMAT0000157	Diabetes mellitus	DOID:9351	E10-E14	endothelial cells	23476055	AMPKα2	downregulation	RNAi	RNAi/knock down/transfection	Low-throughput	Post-transcriptional regulation of miR-143/145 may contribute to the vascular complications associated with diabetes mellitus.	AMP-activated protein kinase regulates endothelial cell angiotensin-converting enzyme expression via p53 and the post-transcriptional regulation of microRNA-143/145.	2013
microRNA	Mus musculus	mmu-miR-1	MIMAT0000123	Insulin-resistant diabetes mellitus	-	E11	muscle tissue	23486111	-	downregulation	RNA isolation/real-time qPCR	PCR;others	Low-throughput	IR(Insulin resistance) was associated with diminished overload induced MAPK phosphorylation and decreased expression of miR-1 and miR133.	Overload induced heat shock proteins (HSPs), MAPK and miRNA (miR-1 and miR133a) response in insulin-resistant skeletal muscle.	2013
microRNA	Mus musculus	mmu-miR-133	-	Insulin-resistant diabetes mellitus	-	E11	muscle tissue	23486111	-	downregulation	RNA isolation/real-time qPCR	PCR;others	Low-throughput	IR(Insulin resistance) was associated with diminished overload induced MAPK phosphorylation and decreased expression of miR-1 and miR133.	Overload induced heat shock proteins (HSPs), MAPK and miRNA (miR-1 and miR133a) response in insulin-resistant skeletal muscle.	2013
microRNA	Mus musculus	mmu-miR-21	MIMAT0000530	Aging	-	-	endothelial cells	23496142	NFIB	upregulation	microarray/qPCR	array;PCR	Low-throughput	miR-21 is the first miRNA that upon its knock-down extends the replicative lifespan of normal human cells.	High levels of oncomiR-21 contribute to the senescence-induced growth arrest in normal human cells and its knock-down increases the replicative lifespan.	2013
microRNA	Rattus norvegicus	rno-miR-143	MIMAT0000849	Aging	-	-	preadipocytes	23516615	ERK5	downregulation	RNA isolation/real-time PCR	PCR;others	Low-throughput	The impaired differentiation capacity with aging correlated with altered levels of miRNAs involved in adipocyte differentiation (miRNA-143) and osteogenic pathways (miRNA-204).	microRNA regulation of adipose derived stem cells in aging rats.	2013
microRNA	Rattus norvegicus	rno-miR-204	MIMAT0000877	Aging	-	-	preadipocytes	23516615	Runx2	downregulation	RNA isolation/real-time PCR	PCR;others	Low-throughput	The impaired differentiation capacity with aging correlated with altered levels of miRNAs involved in adipocyte differentiation (miRNA-143) and osteogenic pathways (miRNA-204).	microRNA regulation of adipose derived stem cells in aging rats.	2013
microRNA	Mus musculus	mmu-miR-33a	-	Diabetes mellitus	DOID:9351	E10-E14	liver	23536474	SREBP2	upregulation	microarray/real-time PCR	array;PCR	Low-throughput	Antagonism of miR-33a may be a potential strategy to increase bile acid synthesis to maintain lipid homeostasis and prevent nonalcoholic fatty liver disease, diabetes, and obesity.	Regulation of cholesterol and bile acid homeostasis by the cholesterol 7α-hydroxylase/steroid response element-binding protein 2/microRNA-33a axis in mice.	2013
microRNA	Mus musculus	mmu-miR-33a	-	Non-alcoholic fatty liver disease	-	K76	liver	23536474	SREBP2	upregulation	microarray/real-time PCR	array;PCR	Low-throughput	Antagonism of miR-33a may be a potential strategy to increase bile acid synthesis to maintain lipid homeostasis and prevent nonalcoholic fatty liver disease, diabetes, and obesity.	Regulation of cholesterol and bile acid homeostasis by the cholesterol 7α-hydroxylase/steroid response element-binding protein 2/microRNA-33a axis in mice.	2013
microRNA	Mus musculus	mmu-miR-33a	-	Obesity	DOID:9970	E66	liver	23536474	SREBP2	upregulation	microarray/real-time PCR	array;PCR	Low-throughput	Antagonism of miR-33a may be a potential strategy to increase bile acid synthesis to maintain lipid homeostasis and prevent nonalcoholic fatty liver disease, diabetes, and obesity.	Regulation of cholesterol and bile acid homeostasis by the cholesterol 7α-hydroxylase/steroid response element-binding protein 2/microRNA-33a axis in mice.	2013
microRNA	Mus musculus	mmu-miR-215	MIMAT0000904	Diabetic nephropathy	-	E14	mesangial cells	23554908	CTNNBIP1	differential expression	real-time qPCR/Northern blot	immunochemistry;PCR	Low-throughput	our findings indicate that miR-215 plays an essential role in MC phenotypic transition by regulating the CTNNBIP1/β-catenin pathway, which is related to the pathogenesis of diabetic nephropathy.	Functional implications of microRNA-215 in TGF-β1-induced phenotypic transition of mesangial cells by targeting CTNNBIP1.	2013
microRNA	Homo sapiens	hsa-miR-101	MIMAT0000099	Aging	-	-	human diploid fibroblasts	23557329	Ezh2	upregulation	microarray/qPCR	array;PCR	Low-throughput	miR-101 and Ezh2 were identified as key players in UVB-induced senescence of HDF(human diploid fibroblasts).	Identification of microRNA-mRNA functional interactions in UVB-induced senescence of human diploid fibroblasts.	2013
microRNA	Mus musculus	mmu-miR-155	MIMAT0000165	Diabetes mellitus	DOID:9351	E10-E14	myocardium	23560074	Ski	differential expression	qRT-PCR	PCR	Low-throughput	targeting miR-155 might serve as a potential therapy against cardiac fibrosis in the diabetic heart.	Bone marrow progenitor cell therapy-mediated paracrine regulation of cardiac miRNA-155 modulates fibrotic response in diabetic hearts.	2013
microRNA	Homo sapiens	hsa-miR-204-5p	MIMAT0000265	Insulin-resistant diabetes mellitus	-	E11	adipose tissue	23562819	ACACB	downregulation	microarray/genome-wide expression arrays/RNA-Seq/qRT-PCR	array;array;PCR;sequencing	Low-throughput	We suggest a regulatory role for miR-204-5p which was predicted to inhibit acetyl coenzyme A carboxylase β, a key fatty acid oxidation enzyme that has been shown to play a role in regulating body fat and insulin resistance in adipose tissue.	Genetic regulation of human adipose microRNA expression and its consequences for metabolic traits.	2013
microRNA	Homo sapiens	hsa-miR-519e	MIMAT0002829	Gout	DOID:13189	M10	blood	23569188	ALPK1	differential expression	direct sequencing/luciferase assay	sequencing;luciferase assays	Low-throughput	Luciferase showed reduced hybridization between hsa-miR-519e and construct carrying gout-associated rs231253 [G] than the wild-type [C] (P = 6.19 × 10(-4)).	ALPK1 genetic regulation and risk in relation to gout	2013
microRNA	Mus musculus	mmu-miR-138	MIMAT0000150	Aging	-	-	brain	23570889	APT1	downregulation	qPCR	PCR	Low-throughput	These results suggest that increased miR-138 is associated with better memory and increased APT1 gene transcription occurs with aging.	Short-term recognition memory correlates with regional CNS expression of microRNA-138 in mice.	2013
microRNA	Mus musculus	mmu-miR-301a	MIMAT0000379	Diabetes mellitus	DOID:9351	E10-E14	cardiac ventricle	23573265	KChIP2	upregulation	qRT-PCR	PCR	Low-throughput	Based on in vivo and in vitro studies we conclude that miR-301a may be a central regulator for the expression of Kv4.2 in diabetes.	microRNA-301a mediated regulation of Kv4.2 in diabetes: identification of key modulators.	2013
microRNA	Rattus norvegicus	rno-miR-10a	MIMAT0000782	Type II diabetes mellitus	DOID:9352	E11	liver	23576026	Ucp2/3/Adipor1/r2	upregulation	qRT-PCR	PCR	Low-throughput	pRLA treatment also modifies the hypothalamic miRNA expression profile at d28 leading to the upregulation of 34 miRNAs and the downregulation of four miRNAs. For quantitative RT-PCR confirmation, we show the upregulation of rno-miR-10a at d28 and rno-miR-200a, rno-miR-409-5p, and rno-miR-125a-3p following HFD challenge. Finally, pRLA treatment modifies the expression of genes involved in energy homeostasis control such as UCPs and AdipoRs. In pRLA rat muscle, Ucp2/3 and Adipor1/r2 are upregulated at d90. In liver, pRLA treatment upregulates Adipor1/r2 following HFD challenge. These genes are known to be involved in insulin resistance and type 2 diabetes.	Early leptin blockade predisposes fat-fed rats to overweight and modifies hypothalamic microRNAs.	2013
microRNA	Rattus norvegicus	rno-miR-125a-3p	MIMAT0004729	Type II diabetes mellitus	DOID:9352	E11	liver	23576026	Ucp2/3/Adipor1/r2	upregulation	qRT-PCR	PCR	Low-throughput	pRLA treatment also modifies the hypothalamic miRNA expression profile at d28 leading to the upregulation of 34 miRNAs and the downregulation of four miRNAs. For quantitative RT-PCR confirmation, we show the upregulation of rno-miR-10a at d28 and rno-miR-200a, rno-miR-409-5p, and rno-miR-125a-3p following HFD challenge. Finally, pRLA treatment modifies the expression of genes involved in energy homeostasis control such as UCPs and AdipoRs. In pRLA rat muscle, Ucp2/3 and Adipor1/r2 are upregulated at d90. In liver, pRLA treatment upregulates Adipor1/r2 following HFD challenge. These genes are known to be involved in insulin resistance and type 2 diabetes.	Early leptin blockade predisposes fat-fed rats to overweight and modifies hypothalamic microRNAs.	2013
